player,pre,club_pos_id
Bernd Leno,11,1
Emiliano Martinez,10,2
Hector Bellerin,9.75,3
Cedric Soares,9.95,4
Pablo Mari,11,5
Rob Holding,8.5,6
Sokratis,7.85,7
David Luiz,11.3,8
Shkodran Mustafi,10.5,9
Nacho Monreal,10,10
Kieran Tierney,10,11
Ainsley Maitland-Niles,11,12
Calum Chambers,10.5,13
Sead Kolasinac,10.5,14
Bukayo Saka,9.95,15
Granit Xhaka,10.9,16
Lucas Torreira,8,17
Matteo Guendouzi,10,18
Henrikh Mkhitaryan,10.75,19
Joseph Willock,11,20
Emile Smith Rowe,9.95,21
Mesut Ozil,10,22
Dani Ceballos,10.5,23
Gabriel Martinelli,10.5,24
Nicolas Pepe,12,25
Pierre-Emerick Aubameyang,14,26
Reiss Nelson,9.95,27
Alexandre Lacazette,12.5,28
Eddie Nketiah,10,29
Tom Heaton,11,1
Pepe Reina,10.75,2
Jed Steer,8.5,3
Orjan Nyland,8.5,4
Ahmed El Mohamady,9.95,5
Bjorn Engels,8.5,6
Ezri Konsa Ngoyo,8,7
Tyone Mings,9,8
Kortney Hause,8,9
Neil Taylor,8.5,10
Frederic Guilbert,8,11
Matt Targett,11.25,12
Marvelous Nakamba,9.5,13
Douglas Luiz,10.25,14
Conor Hourihane,10.25,15
Henri Lansbury,10.25,16
Danny Drinkwater,9.95,17
John McGinn,9.95,18
Jota,10.5,19
Jack Grealish,11.5,20
Trezeguet,11.25,21
Anwar El Ghazi,11.25,22
Keinan Davis,9.5,23
Jonathan Kodjia,10.5,24
Wesley,10.5,25
Borja Baston,9.5,26
Mbwana Samatta,9.95,27
Indiana Vassilev,9.95,28
Mat Ryan,9.75,1
Tariq Lamptey,9.5,2
Ezequiel Schelotto,9.5,3
Shane Duffy,11,4
Adam Webster,10,5
Lewis Dunk,8.75,6
Dan Burn,10,7
Bernardo,11.75,8
Gaetan Bong,10,9
Martin Montoya,10,10
Dale Stephens,9,11
Davy Propper,9,12
Alexis Mac Allister,9,13
Yves Bissouma,9,14
Steven Alzate,9,15
Solly March,10.5,16
Pascal Gross,12,17
Aaron Mooy,11.25,18
Leandro Trossard,11.25,19
Jurgan Locadia,8.5,20
Florin Andone,8.5,21
Neal Maupay,8.5,22
Glenn Murray,8.5,23
Aaron Connolly,8.5,24
Alireza Jahanbakhsh,9,25
Aaron Ramsdale,12,1
Mark Travers,14.5,2
Adam Smith,9.75,3
Jack Stacey,9.75,4
Lloyd Kelly,9.75,5
Simon Francis,9.75,6
Steve Cook,10.75,7
Chris Mepham,9,8
Jack Simpson,9,9
Nathan Ake,10.5,10
Charlie Daniels,10.5,11
Diego Rico,11,12
Jefferson Lerma,10,13
Philip Billing,11.75,14
Lewis Cook,8,15
Dan Gosling,9,16
Andrew Surman,8.5,17
Harry Wilson,12.5,18
Jordan Ibe,8,19
David Brooks,11.5,20
Ryan Fraser,15,21
Junior Stanislas,8,22
Arnaut Danjuma Groeneveld,8,23
Joshua King,11.5,24
Callum Wilson,13,25
Dominic Solanke,8.5,26
Sam Surridge,9.5,27
Nick Pope,11,1
Matthew Lowton,9,2
Phil Bardsley,8.5,3
James Tarkowski,10.5,4
Ben Mee,9,5
Kevin Long,10.5,6
Charlie Taylor,8.5,7
Erik Pieters,8.5,8
Johann Gudmundsson,10.35,9
Aaron Lennon,8.5,10
Jeff Hendrick,7.5,11
Ashley Westwood,10.5,12
Jack Cork,8,13
Josh Bronwhill,9.25,14
Dwight McNeil,11.5,15
Robbie Brady,8,16
Chris Wood,8.5,17
Ashley Barnes,9.25,18
Jay Rodriguez,9.25,19
Matej Vydra,7.5,20
Max Thompson,7.75,21
Kepa Arrizabalaga,10,1
Willy Caballero,12.5,2
Cesar Azpilicueta,12.5,3
Reece James,12,4
Antonio Rudiger,8.75,5
Andreas Christensen,7.5,6
Kurt Zouma,9.75,7
Fikayo Tomori,10,8
Emerson,8,9
Marcos Alonso,14,10
Jorginho,8.75,11
Mateo Kovacic,7.5,12
Ngolo Kante,10.35,13
Billy Gilmour,8.75,14
Ruben Loftus-Cheek,9.25,15
Ross Barkley,7.75,16
Mason Mount,9,17
Christian Pulisic,12,18
Willian,12.75,19
Pedro,10.5,20
Callum Hudson-Odoi,9.5,21
Tammy Abraham,9.5,22
Olivier Giroud,8.5,23
Michy Batshuayi,11,24
Faustino Anjorin,8,25
Armando Broja,8,26
Vicente Guaita,11.75,1
Wayne Hennessey,10.5,2
Joel Ward,7.85,3
Martin Kelly,7.85,4
Gary Cahill,9.95,5
Scott Dann,7.5,6
James Tomkins,9.95,7
Mamadou Sakho,9,8
Patrick van Aanholt,11.25,9
Tyrick Mitchell,10.25,10
Jeffrey Schlupp,8.75,11
Jairo Riedewald,8.75,12
James McArthur,9.35,13
James McCarthy,10.5,14
Cheikhou Kouyate,7,15
Luka Milivojevic,15.5,16
Max Meyer,9,17
Victor Camarasa,11.25,18
Andros Townsend,12.75,19
Jordan Ayew,7.25,20
Wilfried Zaha,13.5,21
Brandon Pierrick,10,22
Christian Benteke,9,23
Connor Wickham,9,24
Cenk Tosun,9,25
Jordan Pickford,11.25,1
Seamus Coleman,12,2
Djibril Sidibe,12,3
Michael Keane,11.5,4
Mason Holgate,11,5
Yerry Mina,8,6
Lucas Digne,17,7
Leighton Baines,8,8
Jarrad Branthwaite,8,9
Fabian Delph,7.5,10
Morgan Schneiderlin,8,11
Andre Gomes,7.5,12
Jean-Philippe Gbamin,8,13
Tom Davies,7,14
Gylfi Sigurdsson,15,15
Alex Iwobi,9,16
Anthony Gordon,9,17
Bernard,9.25,18
Theo Walcott,8,19
Richarlison,10.5,20
Moise Kean,11,21
Dominic Calvert-Lewin,8,22
Oumar Niasse,8,23
Kasper Schmeichel,10,1
Ricardo Pereira,15.25,2
James Justin,12,3
Ryan Bennett,9,4
Jonny Evans,9.75,5
Caglar Soyuncu,8,6
Wes Morgan,9.75,7
Ben Chilwell,13.25,8
Christian Fuchs,11,9
Luke Thomas,12,10
Nampalys Mendy,7,11
Wilfred Ndidi,11.75,12
Hamza Choudhury,8.75,13
Youri Tielemans,13,14
Matty James,10,15
Marc Albrighton,9.5,16
Dennis Praet,9.5,17
Harvey Barnes,10,18
James Maddison,16,19
Demarai Gray,8,20
Ayoze Perez,11.75,21
Jamie Vardy,12.5,22
Kelechi Iheanacho,7.5,23
George Hirst,7.5,24
Alisson,11,1
Adrian,10.5,2
Trent Alexander-Arnold,17.25,3
Neco Williams,8.5,4
Joseph Gomez,9.5,5
Joel Matip,10,6
Virgil van Dijk,13,7
Dejan Lovren,10.5,8
Andrew Robertson,15,9
Jordan Henderson,8,10
Fabinho,8.5,11
Georginio Wijnaldum,8,12
Naby Keita,9,13
James Milner,10.25,14
Adam Lallana,8,15
Curtis Jones,9.95,16
Harvey Elliott,10,17
Alex Oxlade-Chamberlain,9,18
Xherdan Shaqiri,8.25,19
Roberto Firmino,14,20
Sadio Mane,15.25,21
Mohamed Salah,17.5,22
Divock Origi,8.5,23
Takumi Minamino,8.5,24
Ederson,9.75,1
Claudio Bravo,9.75,2
Kyle Walker,10.9,3
Joao Cancelo,10.9,4
John Stones,8.5,5
Eric Garcia,8.5,6
Aymeric Laporte,10.8,7
Nicolas Otamendi,9.85,8
Benjamin Mendy,16,9
Angelino,12.9,10
Fernandinho,10.25,11
Oleksandr Zinchenko,10.5,12
Rodri,10.25,13
Ilkay Gundogan,10.25,14
Kevin De Bruyne,11,15
David Silva,13.5,16
Tommy Doyle,11,17
Bernardo Silva,14,18
Phil Foden,9,19
Riyad Mahrez,10,20
Raheem Sterling,17.5,21
Sergio Aguero,14.5,22
Gabriel Jesus,9,23
Leroy Sane,13,24
David de Gea,10.5,1
Aaron Wan-Bissaka,13.25,2
Diogo Dalot,9.5,3
Timothy Fosu-Mensah,8,4
Victor Lindelof,8,5
Harry Maguire,10,6
Phil Jones,8,7
Eric Bailly,8,8
Axel Tuanzebe,8,9
Marcos Rojo,7.5,10
Luke Shaw,11,11
Ashley Young,11.25,12
Brandon Williams,8,13
Nemanja Matic,8.25,14
Scott McTominay,8.25,15
Fred,8.25,16
Paul Pogba,17,17
Andreas Pereira,8,18
Angel Gomes,8,19
James Garner,9.95,20
Tahith Chong,10,21
Juan Mata,9.25,22
Bruno Fernandes,10.35,23
Daniel James,9.95,24
Jesse Lingard,9.5,25
Mason Greenwood,10.5,26
Marcus Rashford,12.5,27
Anthony Martial,11.75,28
Odion Ighalo,10.5,29
Martin Dubravka,10.35,1
Javier Manquillo,9.5,2
Emil Krafth,9.5,3
Deandre Yedlin,9.5,4
Fabian Schar,13.75,5
Jamaal Lascelles,9,6
Ciaran Clark,11.25,7
Federico Fernandez,8.5,8
Florian Lejeune,11.25,9
Paul Dummett,8.75,10
Jetro Willems,10.5,11
Danny Rose,11,12
Matt Ritchie,13.25,13
Isaac Hayden,10,14
Jonjo Shelvey,9.85,15
Nabil Bentaleb,9.85,16
Sean Longstaff,9,17
Ki Sung-Yueng,9.5,18
Christian Atsu,8.75,19
Matthew Longstaff,9,20
Valentino Lazaro,9,21
Kelland Watts,9,22
Allan Saint-Maximin,9.95,23
Miguel Almiron,11.5,24
Joelinton,10.75,25
Yoshinori Muto,7.75,26
Dwight Gayle,9.95,27
Andy Carroll,9,28
Tim Krul,10.5,1
Ralf Fahrmann,9.5,2
Michael McGovern,9.5,3
Max Aarons,9.5,4
Sam Byram,9.5,5
Jordan Thomas,9,6
Christoph Zimmerman,9,7
Timm Klose,9.25,8
Grant Hanley,8.75,9
Jamal Lewis,9.25,10
Akin Famewo,7.75,11
Ben Godfrey,9,12
Ibrahim Amadou,9.5,13
Alexander Tettey,9.75,14
Kenny McLean,10,15
Tom Trybull,9.5,16
Ondrej Duda,9.75,17
Marco Stiepermann,9.5,18
Patrick Roberts,12,19
Josh Martin,9.75,20
Mario Vrancic,9.5,21
Lukas Rupp,9.5,22
Onel Hernandez,9.5,23
Emiliano Buendia,9.5,24
Todd Cantwell,9.5,25
Moritz Leitner,9.75,26
Teemu Pukki,9.75,27
Josip Drmic,10,28
Adam Idah,9,29
Dennis Srbeny,9,30
Dean Henderson,10,1
Simon Moore,9.5,2
Kieron Freeman,7.5,3
Chris Basham,8,4
John Egan,8,5
Jack OConnell,9,6
Phil Jagielka,9.5,7
Jack Robinson,9.25,8
George Baldock,9.25,9
John Lundstram,9.25,10
Enda Stevens,8.75,11
Muhamed Besic,8.5,12
